Label,DeltaG_3,logTOF,NCBG_HOMO,NCBG_LUMO,NCBG_I,NCBG_A,NCBG_Hardness,NCBG_Softness,NCBG_Electronegativity,NCBG_E_index,NCBG_N_index,NCBG_PEX,CBG_HOMO,CBG_LUMO,CBG_NBO_N,CBG_NI_rel,CBG_NBO_N-1,CBG_fk-,CBG_Nk,CBG_ENF,BB_HOMO,BB_LUMO,BB_wL,BB_wB1,BB_wB5,BB_vNH,BB_iNH,BB_NBO_N
Cat22,-7.716484002,4.26716061,-7.878516642,0.87620708,5.984494356,1.095612598,2.444440879,0.409091506,3.540053477,2.563363002,0.39011252,13.62636823,-8.514719174,2.762229214,-0.63844,2.42045403,-0.06492,-0.57352,-1.388178795,1.723141016,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat23,-0.194527937,2.0381751,-7.878516642,0.87620708,5.984494356,1.095612598,2.444440879,0.409091506,3.540053477,2.563363002,0.39011252,13.62636823,-8.237435008,2.195143638,-0.61638,2.697738196,-0.57379,-0.04259,-0.11489667,4.918419257,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat24,2.631774734,0.009733892,-7.878516642,0.87620708,5.984494356,1.095612598,2.444440879,0.409091506,3.540053477,2.563363002,0.39011252,13.62636823,-8.216210116,2.197592664,-0.63702,2.718963088,-0.59919,-0.03783,-0.102858374,8.82780328,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat25,0.91804636,2.947983878,-7.878516642,0.87620708,5.984494356,1.095612598,2.444440879,0.409091506,3.540053477,2.563363002,0.39011252,13.62636823,-8.752818924,2.426984766,-0.6274,2.18235428,-0.55473,-0.07267,-0.158591686,6.977277841,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat26,-1.570656213,0.587908631,-7.878516642,0.87620708,5.984494356,1.095612598,2.444440879,0.409091506,3.540053477,2.563363002,0.39011252,13.62636823,-8.209135152,2.867265218,-0.63584,2.726038052,-0.09634,-0.5395,-1.470697529,3.753134164,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat27,1.851152949,2.007817477,-7.878516642,0.87620708,5.984494356,1.095612598,2.444440879,0.409091506,3.540053477,2.563363002,0.39011252,13.62636823,-7.411569018,1.46125218,-0.6008,3.523604186,-0.34642,-0.25438,-0.896334433,7.714601473,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat28,0.304969604,1.315111704,-7.878516642,0.87620708,5.984494356,1.095612598,2.444440879,0.409091506,3.540053477,2.563363002,0.39011252,13.62636823,-8.873365426,2.769848406,-0.84941,2.061807778,-0.25921,-0.5902,-1.216878951,5.611189717,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat29,-1.834210193,2.459042154,-7.878516642,0.87620708,5.984494356,1.095612598,2.444440879,0.409091506,3.540053477,2.563363002,0.39011252,13.62636823,-9.002347462,3.018288488,-0.83985,1.932825742,-0.18933,-0.65052,-1.257341802,5.992715477,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat30,-3.351528101,2.524357041,-7.878516642,0.87620708,5.984494356,1.095612598,2.444440879,0.409091506,3.540053477,2.563363002,0.39011252,13.62636823,-8.623836888,1.349957554,-0.83664,2.311336316,-0.35226,-0.48438,-1.119565085,6.069899142,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat31,-5.534006051,2.927285499,-7.878516642,0.87620708,5.984494356,1.095612598,2.444440879,0.409091506,3.540053477,2.563363002,0.39011252,13.62636823,-8.344920038,1.377713182,-0.62757,2.590253166,-0.08879,-0.53878,-1.395576601,3.943269535,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat32,-0.098518987,2.48618003,-7.878516642,0.87620708,5.984494356,1.095612598,2.444440879,0.409091506,3.540053477,2.563363002,0.39011252,13.62636823,-8.569686202,1.251996514,-0.83009,2.365487002,-0.76793,-0.06216,-0.147038672,6.576299288,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
